#first line: Z and A for the parent nucleus
# second line :(average neutron emission number)  (following lines X for this parent nucleus)  (average Q value for this fission in MeV)
#from third line:
#X lines  and each of which : daughter nucleus A and Z, Probability before neutron emission(you probably don't need), final Probability for this daughter nucleus to occur.
         98     254
                          4.487780000000001	532	217.32506
133   51       1.342999           1.740999
133   52       0.211000           1.653999
133   53       0.002000           0.112000
133   54       0.000000           0.001000
134   50       0.179000           0.024000
134   51       1.670999           0.828000
134   52       0.845999           2.970999
134   53       0.025000           0.523000
134   54       0.000000           0.020000
135   50       0.046000           0.003000
135   51       1.307999           0.292000
135   52       1.768999           2.060999
135   53       0.135000           1.831999
135   54       0.000000           0.134000
136   50       0.005000           0.000000
136   51       0.537000           0.088000
136   52       2.591998           1.378000
136   53       0.498000           2.427999
136   54       0.010000           0.668000
136   55       0.000000           0.009000
137   50       0.001000           0.000000
137   51       0.171000           0.012000
137   52       2.305998           0.546000
137   53       1.410999           2.759999
137   54       0.053000           1.442000
137   55       0.000000           0.059000
138   51       0.031000           0.000000
138   52       1.300999           0.183000
138   53       2.431998           1.672999
138   54       0.283000           2.536999
138   55       0.000000           0.273000
138   56       0.000000           0.006000
139   51       0.005000           0.000000
139   52       0.495000           0.026000
139   53       2.821998           0.974000
139   54       0.914999           2.669999
139   55       0.011000           0.873000
139   56       0.000000           0.027000
140   52       0.106000           0.003000
140   53       2.034999           0.309000
140   54       2.050998           2.421999
140   55       0.091000           1.675999
140   56       0.001000           0.167000
140   57       0.000000           0.001000
141   52       0.021000           0.000000
141   53       0.994999           0.083000
141   54       2.901998           1.260000
141   55       0.398000           2.655999
141   56       0.002000           0.550000
141   57       0.000000           0.007000
142   52       0.002000           0.000000
142   53       0.306000           0.010000
142   54       2.816998           0.573000
142   55       1.288999           2.749999
142   56       0.029000           1.465000
142   57       0.000000           0.057000
143   53       0.055000           0.000000
143   54       1.856999           0.139000
143   55       2.520998           1.992999
143   56       0.160000           2.303999
143   57       0.000000           0.253000
143   58       0.000000           0.006000
144   53       0.006000           0.000000
144   54       0.767999           0.040000
144   55       2.995998           0.929000
144   56       0.662000           2.855999
144   57       0.007000           0.746000
144   58       0.000000           0.047000
145   53       0.003000           0.000000
145   54       0.211000           0.006000
145   55       2.561998           0.384000
