# Data source: Evaluated Nuclear Data File library (ENDF/B-VII.1; Chadwick et al. 2011)
# Nuclide selection originally from Hotokezaka et al. https://github.com/hotokezaka/HeatingRate
#
# Q, E_gamma, E_elec and meanlife are taken from the ENDF/B-VII.1 decay sublibrary, MF=8/MT=457.
# Q is the branching-ratio-weighted sum of the mode Q values, so it covers every decay branch of
# the nuclide including the beta-delayed neutron ones. E_gamma and E_elec are the tabulated
# average decay energies EEM (all electromagnetic radiation: gamma rays and X-rays) and ELP (all
# light particles: continuum betas plus conversion and Auger electrons), both averaged over one
# decay of the parent summed over its branches. They are not the averages of the tabulated
# spectra, which omit the X-ray and discrete-electron components and are absent altogether for
# the nuclides that ENDF evaluates from systematics.
# E_neutrino is the balance Q - EEM - ELP - EHP and is not read by ARTIS.
# One deviation from ENDF: Ta-188 uses the ENSDF half-life of 19.6(20) s rather than the 20 s
# ENDF rounds it to. ENDF assigns its parent Hf-188, which has no adopted ENSDF half-life, the
# same estimated 20 s, and two nuclides of one decay chain sharing a decay constant makes the
# Bateman solution singular.
# For a nuclide that alphadecays.txt gives a beta-minus branching ratio below one, E_elec is
# instead the average of the beta continuum alone, because the reader divides this column by that
# branching ratio and the discrete electrons of ELP are summed over all branches.
#
# A, Z, Q[MeV], E_gamma[MeV], E_elec[MeV], E_neutrino[MeV], meanlife[s]
92 37 8.09406 2.14659 2.86744 3.08 6.48059
92 38 1.949 1.33678 0.204054 0.408164 14074.9
92 39 3.642 0.251645 1.45001 1.94035 18385.7
93 35 10.3678 0.851161 4.38017 4.97594 0.147155
93 36 8.36867 2.26215 2.83103 3.26676 1.85531
93 37 7.39245 2.52346 2.14558 2.71784 8.42534
93 38 3.88139 2.16706 0.792027 0.922301 642.548
93 39 2.895 0.0951835 1.1728 1.62702 52871.9
93 40 0.0607992 0 0.0190512 0.0417479 6.96578e+13
94 36 7.16968 1.06381 2.77823 3.32285 0.305851
94 37 9.5642 1.89493 2.01969 5.60365 3.89816
94 38 3.508 1.42697 0.832677 1.24835 108.635
94 39 4.919 0.772457 1.81485 2.33169 1618.7
95 36 9.53858 3.3827 2.79935 3.34024 0.164467
95 37 8.85077 2.1619 2.29998 4.34316 0.544906
95 38 6.09 1.79031 1.89199 2.4077 34.4804
95 39 4.45 1.22259 1.38295 1.84446 891.586
95 40 1.12105 0.732123 0.118007 0.27092 7.98152e+06
95 41 0.9256 0.764492 0.0445123 0.116596 4.36159e+06
96 37 10.7965 1.98582 3.93872 4.81668 0.292867
96 38 5.41173 0.924904 1.98163 2.5052 1.54368
96 39 7.103 0.0801069 3.20575 3.81714 7.70399
96 40 3.3477 0 1.674 1.6737 9.1056e+26
96 41 3.187 2.46053 0.253446 0.473021 121273
97 37 9.12229 0.658463 3.21552 5.11724 0.24396
97 38 7.43857 2.01724 2.08419 3.33711 0.618916
97 39 6.81817 1.81875 2.14919 2.85013 5.41011
97 40 1.95247 0.159155 0.705106 1.08821 86989.3
97 41 1.9348 0.664232 0.468793 0.801775 6241.1
98 37 11.5844 1.53584 4.14589 5.82944 0.164467
98 38 5.8565 0.579763 2.38445 2.89165 0.94208
98 39 8.97068 2.58425 2.99575 3.38996 0.790597
98 40 2.2378 0.448602 0.700669 1.08853 44.2907
98 41 4.583 0.323962 1.93453 2.32451 4.12611
99 38 8.12289 1.26825 3.08998 3.76443 0.389528
99 39 6.89277 1.00558 2.93065 2.9491 2.12076
99 40 4.57209 0.847617 1.62576 2.09872 3.02966
99 41 3.639 0.298189 1.45008 1.89073 21.6404
99 42 1.2316 0.150059 0.393115 0.688426 342660
99 43 0.2935 7.01744e-07 0.0552012 0.238298 9.61096e+12
100 38 7.46614 0.516531 3.19566 3.75141 0.291424
100 39 8.98507 1.87511 3.42488 3.6812 1.06038
100 40 3.426 0.259497 1.34726 1.81925 10.2431
100 41 6.381 0.708457 2.55223 3.12032 2.16404
100 42 3.03439 0 1.517 1.51739 3.32354e+26
100 43 3.20275 0.0760646 1.31757 1.80911 22.3041
101 38 9.36742 3.7377 2.53674 3.08019 0.170238
101 39 8.00884 1.41318 3.00719 3.58018 0.649213
101 40 5.485 0.560273 2.17928 2.74545 3.3182
101 41 4.569 0.269909 1.95952 2.33957 10.2431
101 42 2.824 1.42501 0.548486 0.850502 1264.67
101 43 1.613 0.336011 0.479992 0.796997 1229.18
102 39 10.0608 2.92718 3.26909 3.85059 0.51937
102 40 4.77 0.204295 1.95497 2.61073 4.18382
102 41 7.259 2.09379 2.30579 2.85942 6.20359
102 42 1.008 0.018539 0.350889 0.638572 978.147
102 43 4.532 0.0807686 1.94519 2.50604 7.61743
