#Binding energies from Lotz tables 1 and 2 of Lotz W., 1967, JOSA, 57, 873. doi:10.1364/JOSA.57.000873. 1967JOSA...57..873L
28  108
#Z  K  L1  L2  L3  M1  M2  M3  M4  M5  N1  N2  N3  N4  N5  N6  N7  O1  O2  O3  O4  O5  O6  O7  P1  P2  P3  P4  Q1
63  48522.000  8056.000  7621.000  6981.000  1805.000  1618.000  1484.000  1164.000  1135.000  364.000  286.000  262.000  143.000  137.000  6.000  0.000  45.000  30.000  26.000  0.000  0.000  0.000  0.000  5.680  0.000  0.000  0.000  0.000
64  50243.000  8380.000  7935.000  7247.000  1884.000  1692.000  1547.000  1220.000  1189.000  380.000  300.000  273.000  150.000  143.000  6.000  0.000  46.000  31.000  27.000  6.000  0.000  0.000  0.000  6.160  0.000  0.000  0.000  0.000
65  51999.000  8711.000  8256.000  7518.000  1965.000  1768.000  1612.000  1277.000  1243.000  398.000  315.000  285.000  157.000  150.000  6.000  0.000  48.000  32.000  28.000  6.000  0.000  0.000  0.000  5.850  0.000  0.000  0.000  0.000
66  53792.000  9050.000  8585.000  7794.000  2048.000  1846.000  1678.000  1335.000  1298.000  416.000  331.000  297.000  164.000  157.000  6.000  0.000  50.000  33.000  28.000  0.000  0.000  0.000  0.000  5.930  0.000  0.000  0.000  0.000
67  55622.000  9398.000  8922.000  8075.000  2133.000  1926.000  1746.000  1395.000  1354.000  434.000  348.000  310.000  172.000  164.000  6.000  0.000  52.000  34.000  29.000  0.000  0.000  0.000  0.000  6.020  0.000  0.000  0.000  0.000
68  57489.000  9754.000  9267.000  8361.000  2220.000  2008.000  1815.000  1456.000  1412.000  452.000  365.000  323.000  181.000  172.000  6.000  0.000  54.000  35.000  30.000  0.000  0.000  0.000  0.000  6.100  0.000  0.000  0.000  0.000
69  59393.000  10118.000  9620.000  8651.000  2309.000  2092.000  1885.000  1518.000  1471.000  471.000  382.000  336.000  190.000  181.000  7.000  0.000  56.000  36.000  30.000  0.000  0.000  0.000  0.000  6.180  0.000  0.000  0.000  0.000
70  61335.000  10490.000  9981.000  8946.000  2401.000  2178.000  1956.000  1580.000  1531.000  490.000  399.000  349.000  200.000  190.000  8.000  7.000  58.000  37.000  31.000  0.000  0.000  0.000  0.000  6.250  0.000  0.000  0.000  0.000
71  63320.000  10876.000  10355.000  9250.000  2499.000  2270.000  2032.000  1647.000  1596.000  514.000  420.000  366.000  213.000  202.000  13.000  12.000  62.000  39.000  32.000  6.600  0.000  0.000  0.000  7.000  0.000  0.000  0.000  0.000
72  65350.000  11275.000  10742.000  9564.000  2604.000  2369.000  2113.000  1720.000  1665.000  542.000  444.000  386.000  229.000  217.000  21.000  20.000  68.000  43.000  35.000  7.000  0.000  0.000  0.000  7.500  0.000  0.000  0.000  0.000
73  67419.000  11684.000  11139.000  9884.000  2712.000  2472.000  2197.000  1796.000  1737.000  570.000  469.000  407.000  245.000  232.000  30.000  28.000  74.000  47.000  38.000  8.300  0.000  0.000  0.000  7.900  0.000  0.000  0.000  0.000
74  69529.000  12103.000  11546.000  10209.000  2823.000  2577.000  2283.000  1874.000  1811.000  599.000  495.000  428.000  261.000  248.000  38.000  36.000  80.000  51.000  41.000  9.000  0.000  0.000  0.000  8.000  0.000  0.000  0.000  0.000
75  71681.000  12532.000  11963.000  10540.000  2937.000  2686.000  2371.000  1953.000  1887.000  629.000  522.000  450.000  278.000  264.000  47.000  45.000  86.000  56.000  45.000  9.600  0.000  0.000  0.000  7.900  0.000  0.000  0.000  0.000
76  73876.000  12972.000  12390.000  10876.000  3054.000  2797.000  2461.000  2035.000  1964.000  660.000  551.000  473.000  295.000  280.000  56.000  54.000  92.000  61.000  49.000  9.600  0.000  0.000  0.000  8.500  0.000  0.000  0.000  0.000
77  76115.000  13422.000  12828.000  11219.000  3175.000  2912.000  2554.000  2119.000  2044.000  693.000  581.000  497.000  314.000  298.000  67.000  64.000  99.000  66.000  53.000  9.600  0.000  0.000  0.000  9.100  0.000  0.000  0.000  0.000
78  78399.000  13883.000  13277.000  11567.000  3300.000  3030.000  2649.000  2206.000  2126.000  727.000  612.000  522.000  335.000  318.000  78.000  75.000  106.000  71.000  57.000  9.600  0.000  0.000  0.000  9.000  0.000  0.000  0.000  0.000
79  80729.000  14356.000  13738.000  11923.000  3430.000  3153.000  2748.000  2295.000  2210.000  764.000  645.000  548.000  357.000  339.000  91.000  87.000  114.000  76.000  61.000  12.500  11.100  0.000  0.000  9.230  0.000  0.000  0.000  0.000
80  83108.000  14845.000  14214.000  12288.000  3567.000  3283.000  2852.000  2390.000  2300.000  806.000  683.000  579.000  382.000  363.000  107.000  103.000  125.000  85.000  68.000  14.000  12.000  0.000  0.000  10.400  0.000  0.000  0.000  0.000
81  85536.000  15350.000  14704.000  12662.000  3710.000  3420.000  2961.000  2490.000  2394.000  852.000  726.000  615.000  411.000  391.000  127.000  123.000  139.000  98.000  79.000  21.000  19.000  0.000  0.000  8.000  6.110  0.000  0.000  0.000
82  88011.000  15867.000  15206.000  13041.000  3857.000  3560.000  3072.000  2592.000  2490.000  899.000  769.000  651.000  441.000  419.000  148.000  144.000  153.000  111.000  90.000  27.000  25.000  0.000  0.000  10.000  7.420  0.000  0.000  0.000
83  90534.000  16396.000  15719.000  13426.000  4007.000  3704.000  3185.000  2696.000  2588.000  946.000  813.000  687.000  472.000  448.000  170.000  165.000  167.000  125.000  101.000  34.000  32.000  0.000  0.000  12.000  7.290  0.000  0.000  0.000
84  93106.000  16937.000  16244.000  13816.000  4161.000  3852.000  3301.000  2802.000  2687.000  994.000  858.000  724.000  503.000  478.000  193.000  187.000  181.000  139.000  112.000  41.000  38.000  0.000  0.000  15.000  8.430  0.000  0.000  0.000
85  95729.000  17490.000  16782.000  14212.000  4320.000  4005.000  3420.000  2910.000  2788.000  1044.000  904.000  761.000  535.000  508.000  217.000  211.000  196.000  153.000  123.000  48.000  44.000  0.000  0.000  19.000  11.000  9.300  0.000  0.000
86  98404.000  18055.000  17334.000  14615.000  4483.000  4162.000  3542.000  3019.000  2890.000  1096.000  951.000  798.000  567.000  538.000  242.000  235.000  212.000  167.000  134.000  55.000  51.000  0.000  0.000  24.000  14.000  10.700  0.000  0.000
87  101134.000  18637.000  17903.000  15028.000  4652.000  4324.000  3666.000  3134.000  2998.000  1153.000  1003.000  839.000  603.000  572.000  268.000  260.000  231.000  183.000  147.000  65.000  61.000  0.000  0.000  33.000  17.000  13.000  0.000  4.000
88  103919.000  19237.000  18488.000  15449.000  4827.000  4491.000  3793.000  3254.000  3111.000  1214.000  1060.000  884.000  642.000  609.000  296.000  287.000  253.000  201.000  161.000  77.000  73.000  0.000  0.000  46.000  28.000  23.000  0.000  5.280
89  106759.000  19850.000  19086.000  15874.000  5005.000  4661.000  3921.000  3374.000  3223.000  1274.000  1116.000  928.000  680.000  645.000  322.000  313.000  274.000  218.000  174.000  88.000  83.000  0.000  0.000  56.000  39.000  33.000  5.700  6.300
90  109654.000  20475.000  19696.000  16303.000  5185.000  4833.000  4049.000  3494.000  3335.000  1333.000  1171.000  970.000  717.000  679.000  347.000  338.000  293.000  233.000  185.000  97.000  91.000  0.000  0.000  64.000  48.000  41.000  6.000  6.000
91  112604.000  21112.000  20318.000  16735.000  5368.000  5008.000  4178.000  3613.000  3446.000  1390.000  1225.000  1011.000  752.000  712.000  372.000  362.000  312.000  248.000  195.000  104.000  97.000  6.000  0.000  70.000  54.000  46.000  6.000  6.000
92  115611.000  21762.000  20953.000  17171.000  5553.000  5187.000  4308.000  3733.000  3557.000  1446.000  1278.000  1050.000  785.000  743.000  396.000  386.000  329.000  261.000  203.000  110.000  101.000  6.000  0.000  74.000  57.000  48.000  6.100  6.000
93  118676.000  22427.000  21602.000  17612.000  5742.000  5370.000  4440.000  3854.000  3669.000  1504.000  1331.000  1089.000  819.000  774.000  421.000  410.000  346.000  274.000  211.000  116.000  106.000  6.000  0.000  78.000  61.000  51.000  6.000  6.000
94  121800.000  23109.000  22267.000  18059.000  5936.000  5557.000  4574.000  3977.000  3783.000  1563.000  1384.000  1128.000  853.000  805.000  446.000  434.000  363.000  287.000  219.000  122.000  111.000  6.000  0.000  83.000  65.000  54.000  0.000  6.000
95  124984.000  23808.000  22949.000  18512.000  6135.000  5748.000  4710.000  4102.000  3898.000  1623.000  1439.000  1167.000  888.000  837.000  471.000  458.000  380.000  301.000  227.000  128.000  116.000  6.000  0.000  87.000  69.000  57.000  0.000  6.000
96  128229.000  24524.000  23648.000  18971.000  6339.000  5944.000  4848.000  4230.000  4016.000  1684.000  1495.000  1207.000  923.000  869.000  497.000  484.000  397.000  315.000  235.000  134.000  121.000  6.000  0.000  92.000  73.000  60.000  6.000  6.000
97  131536.000  25257.000  24364.000  19435.000  6548.000  6145.000  4989.000  4360.000  4136.000  1746.000  1553.000  1248.000  959.000  902.000  525.000  511.000  414.000  330.000  243.000  141.000  126.000  6.000  0.000  97.000  78.000  64.000  6.000  6.000
98  135906.000  26007.000  25097.000  19905.000  6762.000  6351.000  5132.000  4493.000  4258.000  1809.000  1613.000  1289.000  995.000  935.000  554.000  539.000  431.000  345.000  252.000  149.000  131.000  6.000  0.000  103.000  83.000  68.000  6.000  6.000
99  139340.000  26774.000  25847.000  20380.000  6982.000  6562.000  5278.000  4628.000  4382.000  1873.000  1675.000  1331.000  1032.000  968.000  584.000  569.000  448.000  361.000  261.000  157.000  137.000  6.000  0.000  108.000  88.000  72.000  6.000  6.000
100  142839.000  27559.000  26614.000  20860.000  7208.000  6779.000  5426.000  4766.000  4508.000  1939.000  1739.000  1373.000  1069.000  1002.000  615.000  599.000  465.000  377.000  270.000  166.000  143.000  6.000  0.000  114.000  93.000  76.000  6.000  6.000
101  146404.000  28361.000  27399.000  21345.000  7440.000  7002.000  5577.000  4906.000  4636.000  2006.000  1805.000  1416.000  1107.000  1036.000  647.000  630.000  482.000  393.000  279.000  175.000  149.000  7.000  0.000  120.000  99.000  81.000  0.000  6.000
102  150036.000  29181.000  28202.000  21835.000  7678.000  7231.000  5731.000  5048.000  4766.000  2074.000  1873.000  1459.000  1146.000  1071.000  680.000  662.000  499.000  410.000  288.000  185.000  155.000  8.000  7.000  126.000  105.000  86.000  0.000  6.000
103  153736.000  30023.000  29027.000  22332.000  7925.000  7469.000  5891.000  5196.000  4901.000  2147.000  1946.000  1506.000  1188.000  1109.000  716.000  697.000  519.000  430.000  300.000  198.000  163.000  13.000  12.000  134.000  113.000  93.000  7.000  7.000
104  157500.000  30887.000  29874.000  22837.000  8182.000  7716.000  6057.000  5350.000  5042.000  2225.000  2024.000  1557.000  1233.000  1151.000  755.000  735.000  542.000  454.000  315.000  213.000  173.000  21.000  20.000  144.000  123.000  102.000  8.000  8.000
105  161340.000  31770.000  30740.000  23346.000  8446.000  7970.000  6227.000  5507.000  5185.000  2304.000  2105.000  1609.000  1279.000  1193.000  795.000  774.000  565.000  479.000  330.000  229.000  183.000  29.000  27.000  154.000  133.000  111.000  9.000  8.000
106  165250.000  32670.000  31630.000  23860.000  8717.000  8231.000  6401.000  5667.000  5330.000  2385.000  2189.000  1662.000  1326.000  1236.000  836.000  814.000  588.000  505.000  345.000  246.000  193.000  37.000  35.000  164.000  143.000  120.000  9.000  8.000
107  169240.000  33600.000  32530.000  24380.000  8995.000  8499.000  6579.000  5830.000  5478.000  2468.000  2276.000  1716.000  1374.000  1279.000  878.000  855.000  611.000  529.000  360.000  263.000  203.000  46.000  44.000  174.000  153.000  129.000  10.000  8.000
108  173290.000  34540.000  33460.000  24900.000  9280.000  8770.000  6760.000  5996.000  5628.000  2553.000  2366.000  1771.000  1422.000  1323.000  921.000  897.000  634.000  554.000  375.000  281.000  213.000  56.000  54.000  184.000  163.000  138.000  10.000  9.000
